stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
83.0,279.0,882.0,67.0,418.0,1518.0,21.0,29755.0,0.0,74.0,1.0,71.0,1.0,26.0,9.0,67.0,1.0,1.0,1.0,1.0,1427363252.0,1581543491.0
76.0,7.0,3.0,55.0,7.0,11.0,14.0,11.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,55.0,1.0,0.0,1.0,1.0,1427384352.0,1579829937.0
72.0,108.0,254.0,48.0,1090.0,3749.0,124.0,55987.0,3562.0,0.0,2.0,6.0,717.0,31.0,3.0,64.0,1.0,1.0,0.0,1.0,1427388166.0,1581962363.0
72.0,0.0,0.0,24.0,8.0,181.0,7.0,621.0,8037.0,0.0,0.0,0.0,0.0,7.0,0.0,74.0,0.0,1.0,0.0,0.0,1427393293.0,1581532739.0
67.0,18.0,175.0,15.0,92.0,182.0,35.0,449864.0,15457.0,31.0,0.0,0.0,0.0,10.0,3.0,46.0,1.0,0.0,0.0,1.0,1427374447.0,1580116973.0
62.0,1.0,10.0,15.0,67.0,157.0,17.0,128.0,3626.0,4.0,0.0,0.0,0.0,7.0,3.0,76.0,0.0,0.0,0.0,1.0,1427390356.0,1581170438.0
54.0,9.0,11.0,19.0,13.0,106.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,59.0,0.0,1.0,1.0,1.0,1427370199.0,1580098401.0
43.0,0.0,6.0,15.0,6.0,50.0,3.0,41.0,4849.0,1.0,0.0,0.0,0.0,7.0,2.0,78.0,0.0,0.0,1.0,1.0,1427379138.0,1581757795.0
42.0,3.0,27.0,10.0,3.0,109.0,8.0,242.0,5544.0,0.0,0.0,0.0,0.0,7.0,0.0,48.0,0.0,1.0,1.0,1.0,1427333769.0,1581976073.0
41.0,86.0,103.0,24.0,51.0,7361.0,16.0,709182.0,12238.0,10.0,0.0,0.0,0.0,22.0,7.0,39.0,1.0,1.0,1.0,1.0,1427412319.0,1581921029.0
39.0,9.0,5.0,53.0,26.0,4224.0,19.0,62829.0,5752.0,0.0,0.0,0.0,0.0,7.0,0.0,42.0,0.0,0.0,1.0,1.0,1427390804.0,1581969481.0
59.0,0.0,0.0,34.0,1.0,816.0,25.0,381954.0,2249.0,0.0,0.0,0.0,0.0,7.0,0.0,2000.0,0.0,0.0,1.0,1.0,1427383791.0,1579792061.0
36.0,1.0,1.0,28.0,0.0,75.0,15.0,388361.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,35.0,0.0,1.0,0.0,1.0,1427365904.0,1580310155.0
35.0,0.0,6.0,16.0,8.0,53.0,5.0,57.0,688.0,0.0,0.0,0.0,0.0,7.0,0.0,57.0,1.0,0.0,1.0,1.0,1427380582.0,1581605222.0
35.0,24.0,54.0,41.0,100.0,6674.0,18.0,30075.0,9724.0,0.0,0.0,0.0,0.0,8.0,0.0,30.0,1.0,1.0,0.0,1.0,1427352035.0,1581014331.0
1.0,0.0,0.0,0.0,4.0,2762.0,2.0,27285.0,6499.0,0.0,0.0,0.0,1.0,7.0,0.0,62.0,0.0,0.0,1.0,0.0,1427366978.0,1581711937.0
1.0,0.0,0.0,0.0,7.0,3335.0,1.0,17096.0,2679.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1427359808.0,1579082823.0
1.0,0.0,9.0,1.0,0.0,90.0,0.0,57622.0,683.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,1.0,1427360307.0,1578046487.0
1.0,0.0,0.0,0.0,0.0,42.0,1.0,4736.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,10.0,0.0,0.0,1.0,1.0,1427383809.0,1581028493.0
31.0,2.0,15.0,30.0,36.0,150.0,3.0,118.0,8134.0,29.0,0.0,17.0,0.0,7.0,8.0,94.0,0.0,1.0,1.0,1.0,1427397940.0,1581940998.0
30.0,0.0,0.0,22.0,305.0,53.0,43.0,97467.0,3652.0,4.0,0.0,0.0,0.0,8.0,0.0,86.0,0.0,1.0,1.0,0.0,1427334958.0,1581670115.0
