stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
83,279,882,67,418,1518.0,21,29755,0,74,1,71,1,26,9,67,1,1,1,1,1427363252,1581543491
76,7,3,55,7,11.0,14,11,0,2,0,0,0,7,0,55,1,0,1,1,1427384352,1579829937
72,108,254,48,1090,3749.0,124,55987,3562,0,2,6,717,31,3,64,1,1,0,1,1427388166,1581962363
72,0,0,24,8,181.0,7,621,8037,0,0,0,0,7,0,74,0,1,0,0,1427393293,1581532739
67,18,175,15,92,182.0,35,449864,15457,31,0,0,0,10,3,46,1,0,0,1,1427374447,1580116973
62,1,10,15,67,157.0,17,128,3626,4,0,0,0,7,3,76,0,0,0,1,1427390356,1581170438
54,9,11,19,13,106.0,7,81,0,0,0,0,0,7,0,59,0,1,1,1,1427370199,1580098401
43,0,6,15,6,50.0,3,41,4849,1,0,0,0,7,2,78,0,0,1,1,1427379138,1581757795
42,3,27,10,3,109.0,8,242,5544,0,0,0,0,7,0,48,0,1,1,1,1427333769,1581976073
41,86,103,24,51,7361.0,16,709182,12238,10,0,0,0,22,7,39,1,1,1,1,1427412319,1581921029
39,9,5,53,26,4224.0,19,62829,5752,0,0,0,0,7,0,42,0,0,1,1,1427390804,1581969481
59,0,0,34,1,816.0,25,381954,2249,0,0,0,0,7,0,2000,0,0,1,1,1427383791,1579792061
36,1,1,28,0,75.0,15,388361,0,0,0,0,0,7,0,35,0,1,0,1,1427365904,1580310155
35,0,6,16,8,53.0,5,57,688,0,0,0,0,7,0,57,1,0,1,1,1427380582,1581605222
35,24,54,41,100,6674.0,18,30075,9724,0,0,0,0,8,0,30,1,1,0,1,1427352035,1581014331
1,0,0,0,4,2762.0,2,27285,6499,0,0,0,1,7,0,62,0,0,1,0,1427366978,1581711937
1,0,0,0,7,3335.0,1,17096,2679,0,0,0,0,7,0,0,0,0,1,0,1427359808,1579082823
1,0,9,1,0,90.0,0,57622,683,0,0,0,0,7,0,11,0,0,0,1,1427360307,1578046487
1,0,0,0,0,42.0,1,4736,0,0,0,0,9,7,0,10,0,0,1,1,1427383809,1581028493
31,2,15,30,36,150.0,3,118,8134,29,0,17,0,7,8,94,0,1,1,1,1427397940,1581940998
30,0,0,22,305,53.0,43,97467,3652,4,0,0,0,8,0,86,0,1,1,0,1427334958,1581670115
29,0,1,0,12,1.0,55,0,133,0,0,0,0,7,0,34,0,0,1,1,1427390345,1580525453
23,0,1,2,12,67.0,2,108,6990,2,0,0,0,8,5,57,0,1,1,1,1427385819,1580985467
21,23,51,21,8,334.0,7,51396,1803,0,0,0,11,4,0,77,1,1,1,1,1427365177,1581161594
21,3,6,3,7,242.0,1,1097,691,0,0,0,2,8,6,37,1,1,1,1,1427412275,1581955041
19,0,3,4,0,14.0,4,1808,895,2,0,0,0,7,0,82,0,0,1,1,1427372408,1580830038
14,0,9,19,29,121.0,3,105,8164,39,0,21,0,7,7,56,0,1,1,1,1427398018,1581940714
13,2,3,5,0,75.0,1,82,1331,1,0,0,0,8,0,22,0,1,0,1,1427369179,1579420784
13,0,0,1,1,3.0,2,37,589,0,0,0,0,7,0,25,0,0,1,1,1427401361,1580230548
10,21,101,9,155,333.0,52,388,3622,4,0,1,0,23,0,40,0,0,1,1,1427389309,1579898901
9,4,20,8,55,68.0,16,37,4218,0,0,2,0,10,0,62,0,0,0,1,1427401519,1580239192
13,19,51,9,163,877.0,30,43627,5442,9,0,57,0,51,0,48,0,1,0,1,1427407987,1581956408
13,5,12,4,152,734.0,5,23106,0,7,0,3,0,7,5,25,0,1,1,1,1427413699,1580409181
12,7,1,0,1,66.0,2,186,6668,0,0,1,0,7,0,47,0,1,1,1,1427398109,1581194033
12,3,3,9,10,67.0,1,55,2146,2,0,1,0,7,0,47,0,1,1,1,1427391695,1581360884
11,3,1,9,0,20.0,3,537,3341,0,0,1,0,8,0,69,0,1,1,1,1427407812,1580226986
8,0,0,13,0,61.0,2,192714,2756,0,0,0,249,7,0,7,1,1,1,0,1427401818,1581265236
7,0,0,4,0,118.0,4,289,932,0,0,0,0,7,0,51,0,1,1,1,1427367351,1579803636
6,1,3,1,21,1090.0,1,18200,2309,12,0,0,0,7,0,51,0,1,1,1,1427377326,1581941235
4,0,0,0,0,343.0,1,963,186,0,0,0,0,7,6,25,0,0,1,1,1427446249,1581871498
4,2,1,7,7,163.0,17,45831,811,0,0,0,0,7,0,0,0,0,1,1,1427449972,1581499215
3,14,4,3,82,214.0,79,161,3161,43,0,0,0,8,2,15,0,0,0,1,1427471820,1579181942
6,9,14,2,92,259.0,1,273,3603,0,0,0,0,12,11,73,0,1,0,1,1427413784,1580166833
6,0,0,2,5,637.0,1,428,7573,0,0,0,0,7,0,26,0,1,1,1,1427332689,1581659964
5,0,1,3,0,779.0,1,92004,0,0,0,0,239,7,0,25,0,0,1,1,1427397569,1581975230
5,10,2,0,0,26.0,1,8455,144,1,0,0,0,7,6,48,1,0,1,1,1427386505,1579911827
5,0,0,0,0,361.0,1,1789,0,0,0,0,0,7,7,52,0,1,1,1,1427410094,1581372653
4,0,63,0,0,92.0,1,2753,3247,0,0,4,0,5,7,104,1,0,0,1,1427383993,1581251152
4,0,0,0,0,103.0,15,31423,6474,0,0,0,0,7,0,38,0,0,1,0,1427375889,1578648585
3,0,0,0,0,91.0,2,6017,15788,0,0,0,0,7,0,79,0,0,1,1,1427366653,1578920464
3,0,2,4,0,26.0,2,34757,7046,0,0,0,0,7,0,70,0,0,1,1,1427411134,1579884897
3,6,23,5,5,612.0,75,659,8495,0,0,4,0,11,0,21,0,1,1,1,1427406513,1578432228
2,0,0,1,0,326.0,4,34570,0,0,0,0,0,7,0,89,0,0,1,1,1427391677,1580030643
2,0,0,0,0,19.0,1,96,0,0,0,0,0,7,0,18,0,0,1,1,1427408614,1581516703
2,2,10,3,7,133.0,1,128,9268,0,0,0,0,7,0,46,0,0,0,1,1427356797,1580876827
2,0,0,0,54,182.0,45,1534,22,24,0,0,0,7,0,0,0,0,1,1,1427366516,1580464518
2,1,0,1,0,193.0,1,35607,0,0,0,0,211,7,0,9,1,0,1,1,1427332228,1577933219
2,0,1,1,0,80.0,2,151291,2233,0,0,0,0,7,0,32,0,0,1,1,1427387525,1580751578
2,0,1,24,60,263.0,7,1101,0,9,0,0,0,11,6,19,0,1,1,1,1427393791,1581412265
2,0,0,1,0,99.0,1,210,4516,0,0,0,0,7,0,228,0,1,0,1,1427347108,1577864548
2,0,0,2,0,153.0,6,41891,0,0,0,0,0,7,0,43,1,0,1,1,1427380402,1578933084
2,0,1,0,0,10.0,2,44,0,1,0,0,0,7,0,86,0,0,1,1,1427392170,1578547066
2,1,3,3,5,77.0,1,53,872,8,0,4,0,7,8,95,0,1,1,1,1427401583,1581940897
2,0,7,2,6,71.0,2,139735,5498,0,0,0,6,8,4,17,1,0,1,1,1427390090,1581629565
1,1,0,3,0,,14,54,0,0,0,0,23,7,0,45,1,0,1,1,1427375262,1579549762
1,0,0,1,0,844.0,1,617,56,0,0,0,0,7,0,41,0,1,1,1,1427340524,1581737923
1,0,3,0,2,,36,1434,0,4,0,0,0,7,0,54,0,1,1,1,1427332116,1580074319
1,0,0,0,0,2.0,1,46,251,0,0,0,0,7,0,27,0,1,1,1,1427348077,1581407615
1,0,0,0,0,98.0,1,9268,0,0,0,0,0,7,0,24,0,0,1,1,1427414677,1579841211
1,0,0,0,0,60.0,1,997,521,0,0,0,0,7,0,0,0,0,1,1,1427429773,1581629184
1,0,0,2,0,3.0,1,1617,0,0,0,0,0,7,0,43,0,0,1,1,1427441690,1578304533
1,0,4,6,13,48.0,11,42,0,0,0,0,0,11,2,50,1,1,1,1,1427367193,1578928482
1,0,0,0,0,6.0,7,71,1511,0,0,0,0,7,0,70,0,1,1,1,1427399666,1581307551
1,13,18,0,0,183.0,1,1874,1434,0,0,0,0,17,0,137,0,0,0,1,1427365024,1577911301
